Match Order,Venue,Date & Time,Result,Team 1 Code,Team 1 Score,Team 1 Overs,Team 2 Code,Team 2 Score,Team 2 Overs,Comments
MATCH 46,"MA Chidambaram Stadium, Chennai","APR, SUN 28 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 78 RUNS,CSK,212/3,(20.0 OV),SRH,134,(18.5 OV ),CHENNAI SUPER KINGS WON BY 78 RUNS
MATCH 45,"Narendra Modi Stadium, Ahmedabad","APR, SUN 28 , 3:30 pm IST",ROYAL CHALLENGERS BENGALURU WON BY 9 WICKETS,GT,200/3,(20.0 OV),RCB,206/1,(16.0 OV ),ROYAL CHALLENGERS BENGALURU WON BY 9 WICKETS
MATCH 44,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, SAT 27 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 7 WICKETS,LSG,196/5,(20.0 OV),RR,199/3,(19.0 OV ),RAJASTHAN ROYALS WON BY 7 WICKETS
MATCH 43,"Arun Jaitley Stadium, Delhi","APR, SAT 27 , 3:30 pm IST",DELHI CAPITALS WON BY 10 RUNS,DC,257/4,(20.0 OV),MI,247/9,(20.0 OV ),DELHI CAPITALS WON BY 10 RUNS
MATCH 42,"Eden Gardens, Kolkata","APR, FRI 26 , 7:30 pm IST",PUNJAB KINGS WON BY 8 WICKETS,KKR,261/6,(20.0 OV),PBKS,262/2,(18.4 OV ),PUNJAB KINGS WON BY 8 WICKETS
MATCH 41,"Rajiv Gandhi International Stadium, Hyderabad","APR, THU 25 , 7:30 pm IST",ROYAL CHALLENGERS BENGALURU WON BY 35 RUNS,SRH,171/8,(20.0 OV),RCB,206/7,(20.0 OV ),ROYAL CHALLENGERS BENGALURU WON BY 35 RUNS
MATCH 40,"Arun Jaitley Stadium, Delhi","APR, WED 24 , 7:30 pm IST",DELHI CAPITALS WON BY 4 RUNS,DC,224/4,(20.0 OV),GT,220/8,(20.0 OV ),DELHI CAPITALS WON BY 4 RUNS
MATCH 39,"MA Chidambaram Stadium, Chennai","APR, TUE 23 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 6 WICKETS,CSK,210/4,(20.0 OV),LSG,213/4,(19.3 OV ),LUCKNOW SUPER GIANTS WON BY 6 WICKETS
MATCH 38,"Sawai Mansingh Stadium, Jaipur","APR, MON 22 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 9 WICKETS,RR,183/1,(18.4 OV),MI,179/9,(20.0 OV ),RAJASTHAN ROYALS WON BY 9 WICKETS
MATCH 37,"PCA New Stadium, Mullanpur","APR, SUN 21 , 7:30 pm IST",GUJARAT TITANS WON BY 3 WICKETS,PBKS,142,(20.0 OV),GT,146/7,(19.1 OV ),GUJARAT TITANS WON BY 3 WICKETS
MATCH 36,"Eden Gardens, Kolkata","APR, SUN 21 , 3:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 1 RUN,KKR,222/6,(20.0 OV),RCB,221,(20.0 OV ),KOLKATA KNIGHT RIDERS WON BY 1 RUN
MATCH 35,"Arun Jaitley Stadium, Delhi","APR, SAT 20 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 67 RUNS,DC,199,(19.1 OV),SRH,266/7,(20.0 OV ),SUNRISERS HYDERABAD WON BY 67 RUNS
MATCH 34,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, FRI 19 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 8 WICKETS,LSG,180/2,(19.0 OV),CSK,176/6,(20.0 OV ),LUCKNOW SUPER GIANTS WON BY 8 WICKETS
